scenario,quantum_coupling,diffusion_rate,collapse_enabled,population,max_steps,seed,alive_count,alive_rate,avg_survival_steps,max_survival_steps,avg_final_energy,avg_steps_taken,deadend_escapes,final_coherence_mean,final_pilot_wave_mean
maze,0.5,0.1,True,20,500,4050,20,1.0,500.0,500,965.0,500.0,0,0.9063546657562256,1.4703856706619263
maze,0.5,0.1,True,20,500,5050,19,0.95,480.0,500,910.0,480.0,0,0.9029797315597534,1.3770614862442017
maze,0.5,0.1,True,20,500,6050,19,0.95,480.0,500,917.5,480.0,0,0.8957439661026001,1.3770639896392822
maze,0.5,0.1,True,20,500,7050,20,1.0,500.0,500,972.5,500.0,0,0.90911865234375,1.4704047441482544
maze,0.5,0.1,True,20,500,8050,18,0.9,460.0,500,862.5,460.0,0,0.8991012573242188,1.292224645614624
maze,0.5,0.1,True,20,500,9050,19,0.95,480.0,500,910.0,480.0,0,0.9019824266433716,1.3770639896392822
maze,0.5,0.1,False,20,500,50,16,0.8,420.0,500,850.0,420.0,0,1.0,0.00045771352597512305
maze,0.5,0.1,False,20,500,1050,14,0.7,380.0,500,747.5,380.0,0,1.0,0.00045771352597512305
maze,0.5,0.1,False,20,500,2050,15,0.75,400.0,500,787.5,400.0,0,1.0,0.00045771352597512305
maze,0.5,0.1,False,20,500,3050,13,0.65,360.0,500,685.0,360.0,0,1.0,0.00045771352597512305
maze,0.5,0.1,False,20,500,4050,16,0.8,420.0,500,850.0,420.0,0,1.0,0.00045771352597512305
maze,0.5,0.1,False,20,500,5050,14,0.7,380.0,500,747.5,380.0,0,1.0,0.00045771352597512305
maze,0.5,0.1,False,20,500,6050,13,0.65,360.0,500,700.0,360.0,0,1.0,0.00045771352597512305
maze,0.5,0.1,False,20,500,7050,15,0.75,400.0,500,802.5,400.0,0,1.0,0.00045771352597512305
maze,0.5,0.1,False,20,500,8050,11,0.55,320.0,500,575.0,320.0,0,1.0,0.00045771352597512305
maze,0.5,0.1,False,20,500,9050,15,0.75,400.0,500,795.0,400.0,0,1.0,0.00045771352597512305
moving,0.0,0.1,True,20,500,0,19,0.95,480.0,500,465.5,480.0,0,0.8574835062026978,2.200002670288086
moving,0.0,0.1,True,20,500,1000,19,0.95,480.0,500,457.0,480.0,0,0.8189417719841003,2.120819091796875
moving,0.0,0.1,True,20,500,2000,20,1.0,500.0,500,486.5,500.0,0,0.8487446308135986,2.265432119369507
moving,0.0,0.1,True,20,500,3000,14,0.7,380.0,500,363.5,380.0,0,0.8549242615699768,1.7681937217712402
moving,0.0,0.1,True,20,500,4000,17,0.85,440.0,500,416.0,440.0,0,0.8264727592468262,1.973036289215088
moving,0.0,0.1,True,20,500,5000,20,1.0,500.0,500,473.5,500.0,0,0.8195173144340515,2.2053146362304688
moving,0.0,0.1,True,20,500,6000,19,0.95,480.0,500,456.5,480.0,0,0.8286901712417603,2.1984610557556152
moving,0.0,0.1,True,20,500,7000,20,1.0,500.0,500,491.0,500.0,0,0.8556720018386841,2.2655344009399414
moving,0.0,0.1,True,20,500,8000,20,1.0,500.0,500,486.5,500.0,0,0.845011830329895,2.2653069496154785
moving,0.0,0.1,True,20,500,9000,20,1.0,500.0,500,486.5,500.0,0,0.8534516096115112,2.2654261589050293
moving,0.0,0.1,False,20,500,0,0,0.0,100.0,100,0.0,100.0,0,1.0,0.0005299095646478236
moving,0.0,0.1,False,20,500,1000,1,0.05,120.0,500,20.0,120.0,0,1.0,0.0008238843875005841
moving,0.0,0.1,False,20,500,2000,2,0.1,140.0,500,45.0,140.0,0,1.0,0.0008238843875005841
moving,0.0,0.1,False,20,500,3000,0,0.0,100.0,100,0.0,100.0,0,1.0,0.0005299095646478236
moving,0.0,0.1,False,20,500,4000,3,0.15,160.0,500,41.5,160.0,0,1.0,0.0008238843875005841
moving,0.0,0.1,False,20,500,5000,1,0.05,120.0,500,11.5,120.0,0,1.0,0.0008238843875005841
moving,0.0,0.1,False,20,500,6000,0,0.0,100.0,100,0.0,100.0,0,1.0,0.0005299095646478236
moving,0.0,0.1,False,20,500,7000,0,0.0,100.0,100,0.0,100.0,0,1.0,0.0005299095646478236
