scenario,quantum_coupling,diffusion_rate,collapse_enabled,population,max_steps,seed,alive_count,alive_rate,avg_survival_steps,max_survival_steps,avg_final_energy,avg_steps_taken,deadend_escapes,barrier_crossings,final_coherence_mean,final_pilot_wave_mean
moving,0.1,0.2,True,20,500,26,18,0.9,460.0,500,288.0,460.0,18,0,0.9252887964248657,12.77381706237793
moving,0.1,0.2,True,20,500,27,18,0.9,460.0,500,288.0,460.0,18,0,0.9250274896621704,12.773799896240234
moving,0.1,0.2,True,20,500,28,0,0.0,100.0,100,0.0,100.0,0,0,0.9744641780853271,3.315263271331787
moving,0.1,0.2,True,20,500,29,0,0.0,100.0,100,0.0,100.0,0,0,0.9767617583274841,3.127589702606201
moving,0.1,0.2,True,20,500,30,0,0.0,100.0,100,0.0,100.0,0,0,0.9745361804962158,3.317880868911743
moving,0.1,0.2,True,20,500,31,18,0.9,460.0,500,288.0,460.0,18,0,0.9250818490982056,12.774053573608398
moving,0.1,0.2,True,20,500,32,0,0.0,100.0,100,0.0,100.0,0,0,0.9763652086257935,3.213425636291504
moving,0.1,0.2,True,20,500,33,20,1.0,500.0,500,320.0,500.0,20,0,0.9272484183311462,12.19973087310791
moving,0.1,0.2,True,20,500,34,20,1.0,500.0,500,320.0,500.0,20,0,0.9273456335067749,12.265979766845703
moving,0.1,0.2,True,20,500,35,20,1.0,500.0,500,320.0,500.0,20,0,0.9264051914215088,12.248632431030273
moving,0.1,0.2,True,20,500,36,0,0.0,100.0,100,0.0,100.0,0,0,0.9782556295394897,3.1159517765045166
moving,0.1,0.2,True,20,500,37,0,0.0,100.0,100,0.0,100.0,0,0,0.9775525331497192,3.115621566772461
moving,0.1,0.2,True,20,500,38,18,0.9,460.0,500,288.0,460.0,18,0,0.9249842762947083,12.78183364868164
moving,0.1,0.2,True,20,500,39,20,1.0,500.0,500,320.0,500.0,20,0,0.9262974858283997,12.272954940795898
moving,0.1,0.2,True,20,500,40,17,0.85,440.0,500,272.0,440.0,17,0,0.9213207364082336,13.088144302368164
moving,0.1,0.2,True,20,500,41,20,1.0,500.0,500,320.0,500.0,20,0,0.9262627363204956,12.25204086303711
moving,0.1,0.2,True,20,500,42,18,0.9,460.0,500,288.0,460.0,18,0,0.9252627491950989,12.774541854858398
moving,0.1,0.2,True,20,500,43,20,1.0,500.0,500,320.0,500.0,20,0,0.9263384342193604,12.248148918151855
moving,0.1,0.2,True,20,500,44,20,1.0,500.0,500,320.0,500.0,20,0,0.9261490702629089,12.282781600952148
moving,0.1,0.2,True,20,500,45,0,0.0,100.0,100,0.0,100.0,0,0,0.9774391651153564,3.1337249279022217
moving,0.1,0.2,True,20,500,46,0,0.0,100.0,100,0.0,100.0,0,0,0.9774312973022461,3.115151882171631
moving,0.1,0.2,True,20,500,47,18,0.9,460.0,500,288.0,460.0,18,0,0.9244120717048645,12.84284782409668
moving,0.1,0.2,True,20,500,48,18,0.9,460.0,500,288.0,460.0,18,0,0.9254143834114075,12.775350570678711
moving,0.1,0.2,True,20,500,49,20,1.0,500.0,500,320.0,500.0,20,0,0.9259766340255737,12.304299354553223
moving,0.15,0.2,True,20,500,0,0,0.0,100.0,100,0.0,100.0,0,0,0.9778004884719849,3.0942726135253906
moving,0.15,0.2,True,20,500,1,20,1.0,500.0,500,320.0,500.0,20,0,0.9272542595863342,12.21414852142334
moving,0.15,0.2,True,20,500,2,17,0.85,440.0,500,272.0,440.0,17,0,0.92024165391922,13.121185302734375
moving,0.15,0.2,True,20,500,3,0,0.0,100.0,100,0.0,100.0,0,0,0.9768721461296082,3.2311456203460693
moving,0.15,0.2,True,20,500,4,0,0.0,100.0,100,0.0,100.0,0,0,0.9782333374023438,3.1156997680664062
moving,0.15,0.2,True,20,500,5,18,0.9,460.0,500,288.0,460.0,18,0,0.9253686666488647,12.778068542480469
moving,0.15,0.2,True,20,500,6,0,0.0,100.0,100,0.0,100.0,0,0,0.9771597981452942,3.122408151626587
moving,0.15,0.2,True,20,500,7,20,1.0,500.0,500,320.0,500.0,20,0,0.9268133044242859,12.28287124633789
moving,0.15,0.2,True,20,500,8,0,0.0,100.0,100,0.0,100.0,0,0,0.9782981872558594,3.11392879486084
moving,0.15,0.2,True,20,500,9,20,1.0,500.0,500,320.0,500.0,20,0,0.9260783791542053,12.27712345123291
moving,0.15,0.2,True,20,500,10,20,1.0,500.0,500,320.0,500.0,20,0,0.9264448881149292,12.282015800476074
moving,0.15,0.2,True,20,500,11,20,1.0,500.0,500,320.0,500.0,20,0,0.9266681671142578,12.267000198364258
moving,0.15,0.2,True,20,500,12,20,1.0,500.0,500,320.0,500.0,20,0,0.9267082214355469,12.279504776000977
moving,0.15,0.2,True,20,500,13,0,0.0,100.0,100,0.0,100.0,0,0,0.9768073558807373,3.2651381492614746
moving,0.15,0.2,True,20,500,14,20,1.0,500.0,500,320.0,500.0,20,0,0.9260574579238892,12.278300285339355
moving,0.15,0.2,True,20,500,15,20,1.0,500.0,500,320.0,500.0,20,0,0.9270445108413696,12.211233139038086
moving,0.15,0.2,True,20,500,16,20,1.0,500.0,500,320.0,500.0,20,0,0.925963282585144,12.280933380126953
moving,0.15,0.2,True,20,500,17,20,1.0,500.0,500,320.0,500.0,20,0,0.9259111881256104,12.270943641662598
moving,0.15,0.2,True,20,500,18,0,0.0,100.0,100,0.0,100.0,0,0,0.9782282114028931,3.1161088943481445
moving,0.15,0.2,True,20,500,19,20,1.0,500.0,500,320.0,500.0,20,0,0.9261139631271362,12.263040542602539
